Country,Code,Year,Internet_Users_Percent,Region,IncomeGroup
Mexico,MEX,1991,0.00588,Latin America & Caribbean,Upper middle income
Marshall Islands,MHL,1991,0.0,East Asia & Pacific,Upper middle income
Netherlands,NLD,1991,0.531,Europe & Central Asia,High income
Norway,NOR,1991,1.41,Europe & Central Asia,High income
Nepal,NPL,1991,0.0,South Asia,Lower middle income
Poland,POL,1991,0.00523,Europe & Central Asia,High income
Portugal,PRT,1991,0.1,Europe & Central Asia,High income
Singapore,SGP,1991,0.162,East Asia & Pacific,High income
Sweden,SWE,1991,1.16,Europe & Central Asia,High income
Syrian Arab Republic,SYR,1991,0.0,Middle East & North Africa,Low income
Togo,TGO,1991,0.0,Sub-Saharan Africa,Low income
Thailand,THA,1991,5.22e-05,East Asia & Pacific,Upper middle income
United States,USA,1991,1.16,North America,High income
South Africa,ZAF,1991,0.0133,Sub-Saharan Africa,Upper middle income
Argentina,ARG,1992,0.00299,Latin America & Caribbean,Upper middle income
Australia,AUS,1992,1.77,East Asia & Pacific,High income
Austria,AUT,1992,0.643,Europe & Central Asia,High income
Burundi,BDI,1992,0.0,Sub-Saharan Africa,Low income
Belgium,BEL,1992,0.1,Europe & Central Asia,High income
Brazil,BRA,1992,0.0129,Latin America & Caribbean,Upper middle income
Canada,CAN,1992,0.916,North America,High income
Switzerland,CHE,1992,1.75,Europe & Central Asia,High income
Chile,CHL,1992,0.0365,Latin America & Caribbean,High income
Costa Rica,CRI,1992,0.00111,Latin America & Caribbean,High income
Cyprus,CYP,1992,0.0501,Europe & Central Asia,High income
Germany,DEU,1992,0.435,Europe & Central Asia,High income
Denmark,DNK,1992,0.387,Europe & Central Asia,High income
Ecuador,ECU,1992,0.00512,Latin America & Caribbean,Upper middle income
Spain,ESP,1992,0.0768,Europe & Central Asia,High income
Estonia,EST,1992,0.0655,Europe & Central Asia,High income
Finland,FIN,1992,1.89,Europe & Central Asia,High income
France,FRA,1992,0.279,Europe & Central Asia,High income
United Kingdom,GBR,1992,0.261,Europe & Central Asia,High income
Greece,GRC,1992,0.0483,Europe & Central Asia,High income
Grenada,GRD,1992,0.0,Latin America & Caribbean,Upper middle income
"Hong Kong SAR, China",HKG,1992,0.85,East Asia & Pacific,High income
Hungary,HUN,1992,0.0484,Europe & Central Asia,High income
India,IND,1992,0.000111,South Asia,Lower middle income
Ireland,IRL,1992,0.17,Europe & Central Asia,High income
Iceland,ISL,1992,1.54,Europe & Central Asia,High income
Israel,ISR,1992,0.311,Middle East & North Africa,High income
Italy,ITA,1992,0.0701,Europe & Central Asia,High income
Japan,JPN,1992,0.0967,East Asia & Pacific,High income
"Korea, Rep.",KOR,1992,0.0984,East Asia & Pacific,High income
Luxembourg,LUX,1992,0.153,Europe & Central Asia,High income
Maldives,MDV,1992,0.0,South Asia,Upper middle income
Mexico,MEX,1992,0.0173,Latin America & Caribbean,Upper middle income
Marshall Islands,MHL,1992,0.0,East Asia & Pacific,Upper middle income
Malaysia,MYS,1992,0.00105,East Asia & Pacific,Upper middle income
Netherlands,NLD,1992,1.32,Europe & Central Asia,High income
Norway,NOR,1992,2.22,Europe & Central Asia,High income
Nepal,NPL,1992,0.0,South Asia,Lower middle income
New Zealand,NZL,1992,0.286,East Asia & Pacific,High income
Poland,POL,1992,0.0521,Europe & Central Asia,High income
Portugal,PRT,1992,0.25,Europe & Central Asia,High income
Russian Federation,RUS,1992,0.000673,Europe & Central Asia,High income
Singapore,SGP,1992,0.471,East Asia & Pacific,High income
Sweden,SWE,1992,1.5,Europe & Central Asia,High income
Syrian Arab Republic,SYR,1992,0.0,Middle East & North Africa,Low income
Togo,TGO,1992,0.0,Sub-Saharan Africa,Low income
Thailand,THA,1992,0.000344,East Asia & Pacific,Upper middle income
United States,USA,1992,1.72,North America,High income
"Venezuela, RB",VEN,1992,0.0121,Latin America & Caribbean,
South Africa,ZAF,1992,0.0389,Sub-Saharan Africa,Upper middle income
Argentina,ARG,1993,0.0295,Latin America & Caribbean,Upper middle income
Australia,AUS,1993,1.97,East Asia & Pacific,High income
Austria,AUT,1993,0.765,Europe & Central Asia,High income
Burundi,BDI,1993,0.0,Sub-Saharan Africa,Low income
Belgium,BEL,1993,0.199,Europe & Central Asia,High income
Bulgaria,BGR,1993,0.00234,Europe & Central Asia,High income
Brazil,BRA,1993,0.0255,Latin America & Caribbean,Upper middle income
Canada,CAN,1993,1.18,North America,High income
Switzerland,CHE,1993,2.17,Europe & Central Asia,High income
Chile,CHL,1993,0.0718,Latin America & Caribbean,High income
China,CHN,1993,0.000169,East Asia & Pacific,Upper middle income
Costa Rica,CRI,1993,0.0815,Latin America & Caribbean,High income
Cayman Islands,CYM,1993,0.0,Latin America & Caribbean,High income
Cyprus,CYP,1993,0.0564,Europe & Central Asia,High income
Czechia,CZE,1993,0.581,Europe & Central Asia,High income
Germany,DEU,1993,0.464,Europe & Central Asia,High income
Denmark,DNK,1993,0.578,Europe & Central Asia,High income
Ecuador,ECU,1993,0.0164,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,1993,0.000976,Middle East & North Africa,Lower middle income
Eritrea,ERI,1993,0.0,Sub-Saharan Africa,Low income
Spain,ESP,1993,0.128,Europe & Central Asia,High income
Estonia,EST,1993,0.301,Europe & Central Asia,High income
Finland,FIN,1993,2.57,Europe & Central Asia,High income
Fiji,FJI,1993,0.00668,East Asia & Pacific,Upper middle income
France,FRA,1993,0.591,Europe & Central Asia,High income
United Kingdom,GBR,1993,0.52,Europe & Central Asia,High income
Greece,GRC,1993,0.191,Europe & Central Asia,High income
Grenada,GRD,1993,0.0,Latin America & Caribbean,Upper middle income
"Hong Kong SAR, China",HKG,1993,1.33,East Asia & Pacific,High income
Croatia,HRV,1993,0.0972,Europe & Central Asia,High income
Hungary,HUN,1993,0.193,Europe & Central Asia,High income
India,IND,1993,0.000218,South Asia,Lower middle income
Ireland,IRL,1993,0.281,Europe & Central Asia,High income
Iceland,ISL,1993,2.67,Europe & Central Asia,High income
